[2016-03-05 11:07:45,200][INFO ][node                     ] [Bloodwraith] stopping ...
[2016-03-05 11:07:45,262][INFO ][node                     ] [Bloodwraith] stopped
[2016-03-05 11:07:45,262][INFO ][node                     ] [Bloodwraith] closing ...
[2016-03-05 11:07:45,268][INFO ][node                     ] [Bloodwraith] closed
[2016-03-05 15:53:16,336][INFO ][node                     ] [Anti-Venom] version[2.2.0], pid[94036], build[8ff36d1/2016-01-27T13:32:39Z]
[2016-03-05 15:53:16,336][INFO ][node                     ] [Anti-Venom] initializing ...
[2016-03-05 15:53:16,785][INFO ][plugins                  ] [Anti-Venom] modules [lang-expression, lang-groovy], plugins [], sites []
[2016-03-05 15:53:16,808][INFO ][env                      ] [Anti-Venom] using [1] data paths, mounts [[/ (/dev/disk1)]], net usable_space [179.5gb], net total_space [464.7gb], spins? [unknown], types [hfs]
[2016-03-05 15:53:16,808][INFO ][env                      ] [Anti-Venom] heap size [990.7mb], compressed ordinary object pointers [true]
[2016-03-05 15:53:18,646][INFO ][node                     ] [Anti-Venom] initialized
[2016-03-05 15:53:18,646][INFO ][node                     ] [Anti-Venom] starting ...
[2016-03-05 15:53:18,726][INFO ][transport                ] [Anti-Venom] publish_address {127.0.0.1:9300}, bound_addresses {[fe80::1]:9300}, {[::1]:9300}, {127.0.0.1:9300}
[2016-03-05 15:53:18,733][INFO ][discovery                ] [Anti-Venom] elasticsearch/_QnSQf-0TnORgEsFIGs9Ug
[2016-03-05 15:53:21,760][INFO ][cluster.service          ] [Anti-Venom] new_master {Anti-Venom}{_QnSQf-0TnORgEsFIGs9Ug}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-03-05 15:53:21,781][INFO ][http                     ] [Anti-Venom] publish_address {127.0.0.1:9200}, bound_addresses {[fe80::1]:9200}, {[::1]:9200}, {127.0.0.1:9200}
[2016-03-05 15:53:21,781][INFO ][node                     ] [Anti-Venom] started
[2016-03-05 15:53:21,829][INFO ][gateway                  ] [Anti-Venom] recovered [2] indices into cluster_state
[2016-03-05 15:53:22,433][INFO ][cluster.routing.allocation] [Anti-Venom] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[tweetmap][0]] ...]).
